каморка,"{'104022-2.txt': [1019, 1034]}"
жить,"{'104022-2.txt': [1042, 3429, 4328, 11807, 12237]}"
известие,{'104022-2.txt': [1057]}
прибытие,{'104022-2.txt': [1068]}
фараон,{'104022-2.txt': [1077]}
дошлый,{'104022-2.txt': [1087]}
ещё,"{'104022-2.txt': [1094, 4037, 4176, 4539, 6019, 7973, 8004, 9052, 9761, 10034, 13797, 13822]}"
старик,"{'104022-2.txt': [1101, 1267, 1763, 2278, 2483, 2617, 2727, 2816, 2921, 3335, 3402, 3499, 3626, 4077, 5983, 7029, 7111, 7639, 9045, 11254]}"
взобраться,{'104022-2.txt': [1116]}
стул,"{'104022-2.txt': [1130, 13392]}"
дрожать,"{'104022-2.txt': [1135, 13172]}"
поправлять,{'104022-2.txt': [1148]}
настурция,"{'104022-2.txt': [1159, 2388]}"
ломонос,{'104022-2.txt': [1171]}
обвивать,{'104022-2.txt': [1179]}
окошко,{'104022-2.txt': [1191]}
вдруг,{'104022-2.txt': [1198]}
ктоть,"{'104022-2.txt': [1204, 4427]}"
обхватить,{'104022-2.txt': [1210]}
сзади,{'104022-2.txt': [1223]}
услышать,{'104022-2.txt': [1234]}
знакомый,{'104022-2.txt': [1243]}
голос,{'104022-2.txt': [1252]}
вскрикнуть,{'104022-2.txt': [1274]}
обернуться,{'104022-2.txt': [1287]}
броситься,{'104022-2.txt': [1313]}
объятие,{'104022-2.txt': [1328]}
бледный,"{'104022-2.txt': [1341, 2803]}"
дрожащий,{'104022-2.txt': [1351]}
спросить,"{'104022-2.txt': [1376, 3956, 6919, 7102, 7630, 9166]}"
юноша,"{'104022-2.txt': [1385, 3719, 6189]}"
беспокойство,"{'104022-2.txt': [1393, 8523, 13493]}"
больны,{'104022-2.txt': [1409]}
нет,"{'104022-2.txt': [1418, 1422, 1456, 2003, 2579, 2739, 2750, 2846, 6457, 8000, 8189, 8740]}"
милый,{'104022-2.txt': [1426]}
эдмона,"{'104022-2.txt': [1432, 3045, 3527, 4615, 4708, 4949, 5315]}"
мой,"{'104022-2.txt': [1443, 1452, 1520, 1750, 2257, 3973, 6258, 6466, 7830, 13882, 13957, 13973, 14012, 14126, 14384]}"
дитя,"{'104022-2.txt': [1447, 1745, 7825]}"
ждать,"{'104022-2.txt': [1468, 4228, 9128, 10148]}"
застать,{'104022-2.txt': [1481]}
врасплох,{'104022-2.txt': [1491]}
это,"{'104022-2.txt': [1501, 1564, 1964, 2285, 2545, 3109, 3208, 3595, 3952, 4224, 4440, 4781, 5553, 6251, 7466, 7512, 8458, 8536, 9287, 10193, 12159, 12727, 14425]}"
радость,"{'104022-2.txt': [1508, 1590]}"
бог,"{'104022-2.txt': [1516, 1948, 6509, 14008]}"
кажется,{'104022-2.txt': [1526]}
умру,{'104022-2.txt': [1540]}
успокоиться,{'104022-2.txt': [1547]}
мочь,"{'104022-2.txt': [1601, 2213, 5777, 9569, 9953, 10744, 10905, 13834, 14214]}"
повредить,"{'104022-2.txt': [1606, 3212]}"
вот,"{'104022-2.txt': [1616, 3774, 4535, 5879, 9322]}"
почему,"{'104022-2.txt': [1620, 7074, 8135]}"
прямо,"{'104022-2.txt': [1633, 5807]}"
